#curie_map:
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
#mapping_set_id: "http://purl.obolibrary.org/obo/zfa/zfa.sssom.tsv"
#license: "https://creativecommons.org/licenses/by/3.0/"
#subject_source: "http://purl.obolibrary.org/obo/zfa.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification	mapping_cardinality
ZFA:0009115	skeletal muscle cell	semapv:crossSpeciesExactMatch	CL:0000188	semapv:UnspecifiedMatching	1:1
ZFA:0009116	slow muscle cell	semapv:crossSpeciesExactMatch	CL:0000189	semapv:UnspecifiedMatching	1:1
ZFA:0009117	fast muscle cell	semapv:crossSpeciesExactMatch	CL:0000190	semapv:UnspecifiedMatching	1:1
ZFA:0009118	smooth muscle cell	semapv:crossSpeciesExactMatch	CL:0000192	semapv:UnspecifiedMatching	1:1
ZFA:0009119	pain receptor cell	semapv:crossSpeciesExactMatch	CL:0000198	semapv:UnspecifiedMatching	1:1
ZFA:0009120	mechanoreceptor cell	semapv:crossSpeciesExactMatch	CL:0000199	semapv:UnspecifiedMatching	1:1
ZFA:0009121	auditory receptor cell	semapv:crossSpeciesExactMatch	CL:0000202	semapv:UnspecifiedMatching	1:1
ZFA:0009123	thermoreceptor cell	semapv:crossSpeciesExactMatch	CL:0000205	semapv:UnspecifiedMatching	1:1
ZFA:0009124	chemoreceptor cell	semapv:crossSpeciesExactMatch	CL:0000206	semapv:UnspecifiedMatching	1:1
ZFA:0009125	olfactory receptor cell	semapv:crossSpeciesExactMatch	CL:0000207	semapv:UnspecifiedMatching	1:1
ZFA:0009126	taste receptor cell	semapv:crossSpeciesExactMatch	CL:0000209	semapv:UnspecifiedMatching	1:1
ZFA:0009127	photoreceptor cell	semapv:crossSpeciesExactMatch	CL:0000210	semapv:UnspecifiedMatching	1:1
ZFA:0009128	electrically active cell	semapv:crossSpeciesExactMatch	CL:0000211	semapv:UnspecifiedMatching	1:1
ZFA:0009129	absorptive cell	semapv:crossSpeciesExactMatch	CL:0000212	semapv:UnspecifiedMatching	1:1
ZFA:0009130	lining cell	semapv:crossSpeciesExactMatch	CL:0000213	semapv:UnspecifiedMatching	1:1
ZFA:0009131	synovial cell	semapv:crossSpeciesExactMatch	CL:0000214	semapv:UnspecifiedMatching	1:1
ZFA:0009132	barrier cell	semapv:crossSpeciesExactMatch	CL:0000215	semapv:UnspecifiedMatching	1:1
ZFA:0009133	Sertoli cell	semapv:crossSpeciesExactMatch	CL:0000216	semapv:UnspecifiedMatching	1:1
ZFA:0009134	insulating cell	semapv:crossSpeciesExactMatch	CL:0000217	semapv:UnspecifiedMatching	1:1
ZFA:0009135	myelinating Schwann cell	semapv:crossSpeciesExactMatch	CL:0000218	semapv:UnspecifiedMatching	1:1
ZFA:0009136	motile cell	semapv:crossSpeciesExactMatch	CL:0000219	semapv:UnspecifiedMatching	1:1
ZFA:0009137	ectodermal cell	semapv:crossSpeciesExactMatch	CL:0000221	semapv:UnspecifiedMatching	1:1
ZFA:0009138	mesodermal cell	semapv:crossSpeciesExactMatch	CL:0000222	semapv:UnspecifiedMatching	1:1
ZFA:0009139	endodermal cell	semapv:crossSpeciesExactMatch	CL:0000223	semapv:UnspecifiedMatching	1:1
ZFA:0009140	phagocyte	semapv:crossSpeciesExactMatch	CL:0000234	semapv:UnspecifiedMatching	1:1
ZFA:0009141	macrophage	semapv:crossSpeciesExactMatch	CL:0000235	semapv:UnspecifiedMatching	1:1
ZFA:0009142	B cell	semapv:crossSpeciesExactMatch	CL:0000236	semapv:UnspecifiedMatching	1:1
ZFA:0009143	brush border epithelial cell	semapv:crossSpeciesExactMatch	CL:0000239	semapv:UnspecifiedMatching	1:1
ZFA:0009144	stratified squamous epithelial cell	semapv:crossSpeciesExactMatch	CL:0000240	semapv:UnspecifiedMatching	1:1
ZFA:0009145	stratified cuboidal epithelial cell	semapv:crossSpeciesExactMatch	CL:0000241	semapv:UnspecifiedMatching	1:1
ZFA:0009146	Merkel cell	semapv:crossSpeciesExactMatch	CL:0000242	semapv:UnspecifiedMatching	1:1
ZFA:0009147	glial cell (sensu Vertebrata)	semapv:crossSpeciesExactMatch	CL:0000243	semapv:UnspecifiedMatching	1:1
ZFA:0009148	transitional epithelial cell	semapv:crossSpeciesExactMatch	CL:0000244	semapv:UnspecifiedMatching	1:1
ZFA:0009149	Mauthner neuron	semapv:crossSpeciesExactMatch	CL:0000246	semapv:UnspecifiedMatching	1:1
ZFA:0009150	Rohon-Beard neuron	semapv:crossSpeciesExactMatch	CL:0000247	semapv:UnspecifiedMatching	1:1
ZFA:0009151	hatching gland cell	semapv:crossSpeciesExactMatch	CL:0000249	semapv:UnspecifiedMatching	1:1
ZFA:0009152	extramedullary cell	semapv:crossSpeciesExactMatch	CL:0000251	semapv:UnspecifiedMatching	1:1
ZFA:0009153	eurydendroid cell	semapv:crossSpeciesExactMatch	CL:0000253	semapv:UnspecifiedMatching	1:1
ZFA:0009154	eye photoreceptor cell	semapv:crossSpeciesExactMatch	CL:0000287	semapv:UnspecifiedMatching	1:1
ZFA:0009155	somatotropin secreting cell	semapv:crossSpeciesExactMatch	CL:0000295	semapv:UnspecifiedMatching	1:1
ZFA:0009156	gamete	semapv:crossSpeciesExactMatch	CL:0000300	semapv:UnspecifiedMatching	1:1
ZFA:0009157	keratin accumulating cell	semapv:crossSpeciesExactMatch	CL:0000311	semapv:UnspecifiedMatching	1:1
ZFA:0009158	keratinocyte	semapv:crossSpeciesExactMatch	CL:0000312	semapv:UnspecifiedMatching	1:1
ZFA:0009159	mucus secreting cell	semapv:crossSpeciesExactMatch	CL:0000319	semapv:UnspecifiedMatching	1:1
ZFA:0009160	seminal fluid secreting cell	semapv:crossSpeciesExactMatch	CL:0000321	semapv:UnspecifiedMatching	1:1
ZFA:0009162	extracellular matrix secreting cell	semapv:crossSpeciesExactMatch	CL:0000327	semapv:UnspecifiedMatching	1:1
