type	subject	severity	instantiates	predicate	object	object_str	source	info
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000555	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000555
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000567	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000567
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000611	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000611
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000618	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000618
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000619	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000619
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000661	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000661
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000662	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000662
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000666	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000666
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000676	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000676
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000678	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000678
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000684	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000684
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000687	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000687
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000690	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000690
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000691	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000691
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000694	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000694
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000697	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000697
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000702	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000702
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000705	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000705
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000707	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000707
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000709	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000709
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000712	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000712
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000713	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000713
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000719	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000719
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000720	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000720
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000721	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000721
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000722	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000722
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000725	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000725
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000732	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000732
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000995	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000995
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0001012	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0001012
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0001019	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0001019
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0001030	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0001030
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0001658	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0001658
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002551	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002551
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002552	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002552
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002579	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002579
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002581	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002581
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002598	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002598
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002602	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002602
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002621	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002621
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002631	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002631
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0002632	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0002632
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0007019	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0007019
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0008021	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0008021
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0008028	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0008028
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0008035	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0008035
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010006	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010006
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010007	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010007
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010008	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010008
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010009	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010009
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010010	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010010
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010013	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010013
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010014	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010014
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010020	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010020
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0010021	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0010021
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0011025	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0011025
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0011028	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0011028
